gene,mean_expression,treatment,source_file,n_ec_cells
Mfsd2a,0.21301261983842107,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Abcb1a,1.2145806127977825,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Abcg2,0.8149312746169759,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Tfrc,0.4457779188443363,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Slc7a5,0.1631238272948419,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Vwf,0.06987822626904622,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Cav1,0.31970697864406084,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Plvap,0.006338357692754126,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Ptprc,3.4769879327197448e-15,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Aif1,7.774335187597584e-17,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Pdgfrb,0.0,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Rgs5,0.19210827582957635,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Gfap,0.0,D14,GSM7060825_Brain_GR180905_metadata.csv.gz,300
Cldn5,1.4049487399920764,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Pecam1,0.2416632249451986,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Cdh5,0.09419850907255174,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Kdr,0.1845846732847364,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Flt1,1.8485996610164332,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Tek,0.22905943994831282,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Slc2a1,0.2572238277261434,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Mfsd2a,0.11225532198016726,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Abcb1a,0.8505633034061434,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Abcg2,0.3199090110605944,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Tfrc,0.27877674377915895,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Slc7a5,0.07858052079861913,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Vwf,0.012497397390459465,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Cav1,0.15710846209609153,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Plvap,0.0,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Ptprc,1.001513346090737e-17,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Aif1,1.8860946036353722e-18,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Pdgfrb,0.0,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
Rgs5,0.291027889882344,D14,GSM7060826_Brain_GR181114_metadata.csv.gz,317
