gene,mean_D02,mean_Sham,effect_D02_vs_Sham,log2fc_proxy_D02_vs_Sham,pvalue_D02_vs_Sham,uniprot_accession,protein_name,subcellular_location_text,keywords_text,uniprot_status,surface_accessibility,targetability_score,targetability_comment
Calr,0.8334570585861634,0.23769745140047327,0.5957596071856901,1.8099770973121216,0.05992095293083174,P14211,Calreticulin,"Endoplasmic reticulum lumen | Cytoplasm, cytosol | Cytolytic granule | Secreted, extracellular space, extracellular matrix | Cell surface | Sarcoplasmic reticulum lumen | Cytoplasmic vesicle, secretory vesicle, Cortical granule",3D-structure | Acetylation | Calcium | Chaperone | Cytoplasm | Cytoplasmic vesicle | Direct protein sequencing | Disulfide bond | Endoplasmic reticulum | Extracellular matrix | Hydroxylation | Lectin | Lysosome | Metal-binding | Reference proteome | Repeat | Sarcoplasmic reticulum | Secreted | Signal | Zinc,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Itgb1,0.8766781807576912,0.29531384853647225,0.581364332221219,1.5697950899530877,0.016298288924924045,P09055,Integrin beta-1,"Cell membrane; Single-pass type I membrane protein | Cell projection, invadopodium membrane; Single-pass type I membrane protein | Cell projection, ruffle membrane; Single-pass type I membrane protein | Recycling endosome | Melanosome | Cell projection, lamellipodium | Cell projection, ruffle | Cell junction, focal adhesion | Cell membrane, sarcolemma | Cell junction",3D-structure | Acetylation | Alternative splicing | Calcium | Cell adhesion | Cell junction | Cell membrane | Cell projection | Disulfide bond | EGF-like domain | Endosome | Glycoprotein | Integrin | Isopeptide bond | Magnesium | Membrane | Metal-binding | Myogenesis | Phosphoprotein | Receptor | Reference proteome | Repeat | Signal | Transmembrane | Transmembrane helix | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Gpx1,0.8823604831419963,0.3136016502535938,0.5687588328884026,1.4924320640467084,0.00614953674141703,P11352,Glutathione peroxidase 1,Cytoplasm | Mitochondrion,Acetylation | Cytoplasm | Lipid metabolism | Mitochondrion | Oxidoreductase | Peroxidase | Phosphoprotein | Reference proteome | Selenocysteine,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Esam,0.978323070080109,0.41915841229990164,0.5591646577802074,1.2228134116436726,0.029183658752622174,Q925F2,Endothelial cell-selective adhesion molecule,"Cell junction, adherens junction | Cell junction, tight junction | Cell membrane; Single-pass type I membrane protein",Cell adhesion | Cell junction | Cell membrane | Disulfide bond | Glycoprotein | Immunoglobulin domain | Membrane | Phosphoprotein | Reference proteome | Repeat | Signal | Tight junction | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Ecscr,0.6395744925625275,0.0835054846667775,0.55606900789575,2.9371545192474664,0.0001249452601529624,Q3TZW0,Endothelial cell-specific chemotaxis regulator,Cell membrane; Single-pass type I membrane protein | Cytoplasm,Alternative splicing | Angiogenesis | Apoptosis | Cell membrane | Chemotaxis | Cytoplasm | Developmental protein | Differentiation | Glycoprotein | Membrane | Phosphoprotein | Reference proteome | Signal | Transmembrane | Transmembrane helix,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Tmsb10,0.991231905230622,0.4356980735329752,0.5555338316976468,1.1858920348398116,0.005458523773284085,Q6ZWY8,Thymosin beta-10,"Cytoplasm, cytoskeleton",Acetylation | Actin-binding | Cytoplasm | Cytoskeleton | Phosphoprotein | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Ubb,1.2879124296620756,0.7394235241632114,0.5484889054988642,0.8005608236847551,0.04346320113555533,P0CG49,Polyubiquitin-B,Cytoplasm | Nucleus | Mitochondrion outer membrane; Peripheral membrane protein,ADP-ribosylation | Cytoplasm | Isopeptide bond | Membrane | Mitochondrion | Mitochondrion outer membrane | Nucleus | Phosphoprotein | Reference proteome | Repeat | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Myl12a,1.0214121252382231,0.4770845323898447,0.5443275928483784,1.0982466606286034,0.010146656340744038,D3Z249,"Myosin, light chain 12A, regulatory, non-sarcomeric",,Calcium | Metal-binding | Proteomics identification | Reference proteome | Repeat,found,unknown,0.0,manual annotation required
Hspa8,0.9755322426017141,0.4396801334991722,0.5358521091025419,1.1497334068923488,0.017574027295200058,P63017,Heat shock cognate 71 kDa protein,"Cytoplasm | Melanosome | Nucleus, nucleolus | Cell membrane | Lysosome membrane; Peripheral membrane protein; Cytoplasmic side",3D-structure | Acetylation | ATP-binding | Autophagy | Cell membrane | Chaperone | Cytoplasm | Direct protein sequencing | Hydrolase | Isopeptide bond | Lysosome | Membrane | Methylation | mRNA processing | mRNA splicing | Nucleotide-binding | Nucleus | Phosphoprotein | Reference proteome | Repressor | Spliceosome | Stress response | Transcription | Transcription regulation | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Mt2,0.7021290517023852,0.16944956472052683,0.5326794869818583,2.0508738329416887,0.13067475101703274,P02798,Metallothionein-2,,Acetylation | Direct protein sequencing | Metal-binding | Metal-thiolate cluster | Phosphoprotein | Reference proteome,found,unknown,0.0,manual annotation required
