gene,mean_D14,mean_Sham,effect_D14_vs_Sham,log2fc_proxy_D14_vs_Sham,pvalue_D14_vs_Sham
Gm35067,0.0011284254822999061,0.0008036238191873431,0.000324801663112563,0.489202735497382,0.7208772648936651
Gm29170,0.0016297681526363475,0.0013053806853202809,0.0003243874673160667,0.319976321641988,0.8074566764671456
Zfp799,0.0023695287928598365,0.002045646791729762,0.0003238820011300745,0.21194677143246277,0.8280827033504
Gm10478,0.0006084895504110847,0.00028495680793057964,0.00032353274248050505,1.0918042333278108,0.6479965136064391
Chst12,0.0026094121782819814,0.0022861619069555594,0.000323250271326422,0.19071912615547612,0.8500351176240442
Gm44694,0.0006024508414605392,0.00027961820969195887,0.0003228326317685803,1.1046276199894014,0.6304748295958832
Gm16184,0.0014083008371116995,0.0010856793568709926,0.00032262148024070694,0.375053298567577,0.8172617521163538
CT025622.2,0.000607298912706906,0.0002849002849002849,0.0003223986278066211,1.0892683678739588,0.6485807346540855
Gm8644,0.0006070787985236414,0.0002849002849002849,0.00032217851362335647,1.0887462313021365,0.6487011975640873
Sdr42e1,0.0008763554649340932,0.0005551361254485431,0.0003212193394855501,0.6577234215268706,0.7468146961660047
Gm13787,0.0006061129130940157,0.0002849002849002849,0.0003212126281937308,1.086452801550238,0.6492309097361593
Tmem79,0.0023754121369486485,0.002054871791080757,0.0003205403458678914,0.20903476434560778,0.8309115944226836
Gm49252,0.0008902077151335312,0.0005698005698005698,0.00032040714533296147,0.642774947077406,0.7705818506097003
Gm44066,0.0008902077151335312,0.0005698005698005698,0.00032040714533296147,0.642774947077406,0.7705818506097003
Acsf2,0.0005741438224180488,0.000254307800865003,0.00031983602155304574,1.1716851467955152,0.630112727979142
Rnaseh2a,0.00861382044944753,0.008294244066522663,0.0003195763829248674,0.05453629858671985,0.9468480075678125
Nova2,0.009216831594997301,0.008897311348155159,0.00031952024684214243,0.050895831938250015,0.9659415824953005
Gm12307,0.0006041988845943197,0.0002849002849002849,0.0003192985996940348,1.0818972709939831,0.6502859589006926
Dhrs13,0.0008839094495999057,0.0005647905269814522,0.0003191189226184535,0.6452618137267137,0.7506729496284478
Gm5204,0.0006038910061992684,0.0002849002849002849,0.0003189907212989835,1.0811631525674086,0.6504563352222392
Zfp516,0.005947056905444513,0.005628154241804176,0.0003189026636403365,0.0795002704583162,0.915022592316005
Gm44582,0.0006037305984901754,0.0002849002849002849,0.00031883031358989053,1.0807805214918917,0.6505451765874043
Gm14772,0.0006034006560142991,0.0002849002849002849,0.00031850037111401424,1.0799931687809818,0.6507280730411216
Gm11198,0.000603256740029247,0.0002849002849002849,0.00031835645512896213,1.0796496026395757,0.6508079167170545
Gm10785,0.0008930924010270784,0.000574997746506807,0.0003180946545202713,0.6343607687435783,0.7134484835976831
Zfp931,0.014378188428414863,0.014060304894224657,0.00031788353419020567,0.03225176809530545,0.9555534183534318
AI839979,0.0006019910904945454,0.0002849002849002849,0.00031709080559426053,1.076624628098289,0.6515118477647152
Zfp72,0.0005834692922308605,0.00026673208569825887,0.0003167372065326016,1.1263371825563424,0.6401138518440913
Ptma-ps1,0.0005705928811640407,0.0002543189743589743,0.00031627390680506637,1.162687191198404,0.6320616584632712
Gm7189,0.0006214626346853799,0.00030525030525030525,0.00031621232943507467,1.0232759552861568,0.6642460897516088
Gm17477,0.0005738911477332579,0.0002576887940328179,0.00031620235370044,1.1520712558384065,0.6343884250572068
Gm28929,0.0006009051143998507,0.0002849002849002849,0.0003160048294995658,1.0740240177814513,0.6521183721878783
Clec4a3,0.0007222815200800167,0.0004065705772398239,0.00031571094284019277,0.8275073848627473,0.6197693715562265
Slc22a4,0.000885094160654159,0.0005698005698005698,0.00031529359085358927,0.634473239702152,0.7731946402489213
Gm5527,0.0005994840911882107,0.0002849002849002849,0.0003145838062879258,1.0706139670501678,0.6529155646683051
Gm5251,0.0008832758828757712,0.0005698005698005698,0.0003134753130752014,0.6315097674430074,0.7133830537043242
Gm8228,0.004627349514179206,0.004314028315074361,0.00031332119910484554,0.1011277886831686,0.9289674350421582
Meis3,0.0005290785090781167,0.00021718203938596246,0.0003118964696921542,1.2806737059875712,0.6075136085223695
Gm42979,0.0012003857498534905,0.0008887741788031451,0.0003116115710503454,0.43318831935553737,0.7931895774621536
Gm49190,0.0005805223160799003,0.00026927004260654373,0.00031125227347335657,1.1054329476997464,0.644840337608991
Gm14776,0.0008803750986212278,0.0005698005698005698,0.00031057452882065804,0.6267693619293512,0.7157465954429274
Gm8832,0.0008655673148636562,0.0005550245420585777,0.0003105427728050785,0.6401632594774295,0.7522755676512943
Aasdh,0.0014758108573997757,0.0011664669696480254,0.00030934388775175027,0.3391033313992177,0.8360462699838195
Rrp9,0.006546856840177915,0.006237614169492401,0.00030924267068551444,0.06979719170166206,0.9393087221923788
Cebpa,0.0007459379507867449,0.00043712818003430713,0.0003088097707524378,0.7696353906625109,0.6404373168237114
Gm6203,0.0005934718100890207,0.0002849002849002849,0.00030857152518873587,1.0560963412353515,0.6563334749319247
Gm5855,0.0005934718100890207,0.0002849002849002849,0.00030857152518873587,1.0560963412353515,0.6563334749319247
Gm13904,0.0005934718100890207,0.0002849002849002849,0.00030857152518873587,1.0560963412353515,0.6563334749319247
Gm12372,0.0005934718100890207,0.0002849002849002849,0.00030857152518873587,1.0560963412353515,0.6563334749319247
Gm49392,0.0005934718100890207,0.0002849002849002849,0.00030857152518873587,1.0560963412353515,0.6563334749319247
Gm5548,0.0005934718100890207,0.0002849002849002849,0.00030857152518873587,1.0560963412353515,0.6563334749319247
Gm6365,0.0005934718100890207,0.0002849002849002849,0.00030857152518873587,1.0560963412353515,0.6563334749319247
Gm6342,0.0025754431482034336,0.002266943565769342,0.0003084995824340917,0.18399601681650532,0.9085982868873267
Car12,0.0003084980484213648,0.0,0.0003084980484213648,8.273786502149012,0.37390096630005887
Gm3841,0.0017329827217037665,0.0014245014245014246,0.00030848129720234194,0.282620041915935,0.8716823964815346
Gm13493,0.000878187490249363,0.0005698005698005698,0.00030838692044879326,0.6231840836850875,0.7767670698427585
Etohd2,0.003980999294402838,0.0036730744570553594,0.00030792483734747847,0.11611210169670785,0.8593323635894168
Gm38140,0.0012091085452013307,0.0009012474570991875,0.0003078610881021432,0.42354138408035674,0.7646937517983767
Rps27-ps1,0.000592602283973057,0.0002849002849002849,0.0003077019990727721,1.0539845853344751,0.6568338971796784
